
Sudoku: 0
Case: 50, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 51, val: 0, n_candidats: 3, candidats: 7 8 9 0 0 0 0 0 0 
Case: 52, val: 0, n_candidats: 4, candidats: 3 7 8 9 0 0 0 0 0 
Case: 53, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 54, val: 0, n_candidats: 2, candidats: 4 8 0 0 0 0 0 0 0 
Case: 55, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 56, val: 0, n_candidats: 2, candidats: 6 8 0 0 0 0 0 0 0 
Case: 57, val: 0, n_candidats: 3, candidats: 1 4 8 0 0 0 0 0 0 
Case: 58, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 59, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 60, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 61, val: 0, n_candidats: 3, candidats: 1 6 8 0 0 0 0 0 0 
Case: 62, val: 0, n_candidats: 3, candidats: 2 6 8 0 0 0 0 0 0 
Case: 63, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 64, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 65, val: 0, n_candidats: 2, candidats: 3 8 0 0 0 0 0 0 0 
Case: 66, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 67, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 68, val: 0, n_candidats: 2, candidats: 4 8 0 0 0 0 0 0 0 
Case: 69, val: 0, n_candidats: 2, candidats: 4 8 0 0 0 0 0 0 0 
Case: 70, val: 0, n_candidats: 2, candidats: 1 8 0 0 0 0 0 0 0 
Case: 71, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 72, val: 0, n_candidats: 2, candidats: 4 8 0 0 0 0 0 0 0 
Case: 73, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 74, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 75, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 76, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 77, val: 0, n_candidats: 2, candidats: 4 8 0 0 0 0 0 0 0 
Case: 78, val: 0, n_candidats: 4, candidats: 4 6 8 9 0 0 0 0 0 
Case: 79, val: 0, n_candidats: 3, candidats: 6 8 9 0 0 0 0 0 0 
Case: 80, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 

Sudoku: 2
Case: 0, val: 0, n_candidats: 5, candidats: 1 2 5 6 9 0 0 0 0 
Case: 1, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 2, val: 0, n_candidats: 2, candidats: 2 6 0 0 0 0 0 0 0 
Case: 3, val: 0, n_candidats: 2, candidats: 1 6 0 0 0 0 0 0 0 
Case: 4, val: 0, n_candidats: 3, candidats: 1 5 6 0 0 0 0 0 0 
Case: 5, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 6, val: 0, n_candidats: 2, candidats: 8 9 0 0 0 0 0 0 0 
